CustomerID,OrderDate,Salesperson,ProductName,ProductCategory,Quantity,UnitPrice_In_Dollars,TotalPrice_In_Dollars,City,Country,Channel,Spend,LeadsGenerated,ConversionRate
1,2022-01-01,"Jane Smith","Aloe Vera","Personal Care",657,14,9198,Accra,Ghana,TikTok,60,1017,0.6
2,2022-01-02,"Denis Kombe","African Hair Care Products","Fashion and Accessories",944,12,11328,Johannesburg,"South Africa",Facebook,50,2473,0.9
3,2022-01-03,"Jane Smith","Maasai Shuka","Fashion and Accessories",719,6,4314,Luanda,Angola,YouTube,70,842,0.2
4,2022-01-04,"Bob Johnson","Maasai Shuka","Fashion and Accessories",680,9,6120,Nairobi,Kenya,TikTok,60,4695,0.6
5,2022-01-05,"John Doe","African Hair Care Products","Fashion and Accessories",935,6,5610,Lagos,Nigeria,YouTube,70,4867,0.2
6,2022-01-06,"Bob Johnson","Kitenge Fabric","Fashion and Accessories",788,10,7880,Accra,Ghana,Instagram,55,4899,0.8
7,2022-01-07,"Alice Lee","Maasai Shuka","Fashion and Accessories",648,8,5184,Johannesburg,"South Africa",Instagram,55,3166,0.8
8,2022-01-08,"Bob Johnson","Aloe Vera","Personal Care",708,7,4956,Lagos,Nigeria,YouTube,70,3170,0.2
9,2022-01-09,"Bob Johnson","Aloe Vera","Personal Care",672,13,8736,Lagos,Nigeria,X_Twitter,65,3194,0.5
10,2022-01-10,"John Doe","Maasai Shuka","Fashion and Accessories",923,5,4615,Johannesburg,"South Africa",TikTok,60,2060,0.6
11,2022-01-11,"Denis Kombe","Maasai Shuka","Fashion and Accessories",787,13,10231,Luanda,Angola,Instagram,55,4153,0.8
12,2022-01-12,"Alice Lee","Kikoy Throw","Fashion and Accessories",556,10,5560,Johannesburg,"South Africa",YouTube,70,3678,0.2
13,2022-01-13,"Bob Johnson","Maasai Shuka","Fashion and Accessories",536,6,3216,"Dar es Salaam",Tanzania,X_Twitter,65,597,0.5
14,2022-01-14,"John Doe","Kikoy Throw","Fashion and Accessories",827,11,9097,Luanda,Angola,Facebook,50,2975,0.9
15,2022-01-15,"Jane Smith","Aloe Vera","Personal Care",978,7,6846,Johannesburg,"South Africa",X_Twitter,65,4833,0.5
16,2022-01-16,"Jane Smith","Aloe Vera","Personal Care",583,13,7579,Johannesburg,"South Africa",YouTube,70,721,0.2
17,2022-01-17,"Bob Johnson","Kitenge Fabric","Fashion and Accessories",550,12,6600,"Addis Ababa",Ethiopia,X_Twitter,65,4636,0.5
18,2022-01-18,"Jane Smith","Maasai Shuka","Fashion and Accessories",810,11,8910,Johannesburg,"South Africa",X_Twitter,65,4686,0.5
19,2022-01-19,"Bob Johnson","Maasai Shuka","Fashion and Accessories",794,10,7940,Luanda,Angola,Instagram,55,1806,0.8
20,2022-01-20,"Denis Kombe","Maasai Shuka","Fashion and Accessories",799,10,7990,"Addis Ababa",Ethiopia,YouTube,70,3848,0.2
21,2022-01-21,"Denis Kombe","Maasai Shuka","Fashion and Accessories",837,7,5859,Luanda,Angola,X_Twitter,65,4909,0.5
22,2022-01-22,"Denis Kombe","Maasai Shuka","Fashion and Accessories",709,6,4254,Luanda,Angola,Instagram,55,2918,0.8
23,2022-01-23,"Bob Johnson","Aloe Vera","Personal Care",690,9,6210,"Addis Ababa",Ethiopia,Instagram,55,4550,0.8
24,2022-01-24,"Denis Kombe","Kitenge Fabric","Fashion and Accessories",754,8,6032,"Dar es Salaam",Tanzania,TikTok,60,2207,0.6
25,2022-01-25,"Bob Johnson","Wooden Bowls","Handicrafts and Home Decor",779,12,9348,Lagos,Nigeria,Facebook,50,556,0.9
26,2022-01-26,"Bob Johnson","Maasai Shuka","Fashion and Accessories",709,11,7799,Nairobi,Kenya,TikTok,60,739,0.6
27,2022-01-27,"Bob Johnson","Aloe Vera","Personal Care",621,10,6210,Accra,Ghana,Facebook,50,1828,0.9
28,2022-01-28,"Denis Kombe","Sukuma Wiki","Food and Beverages",854,8,6832,Nairobi,Kenya,X_Twitter,65,2919,0.5
29,2022-01-29,"Denis Kombe","Maasai Shuka","Fashion and Accessories",665,5,3325,Accra,Ghana,Facebook,50,1512,0.9
30,2022-01-30,"Denis Kombe","Kitenge Fabric","Fashion and Accessories",788,5,3940,"Addis Ababa",Ethiopia,X_Twitter,65,1101,0.5
31,2022-01-31,"Denis Kombe","Kikoy Throw","Fashion and Accessories",789,10,7890,"Addis Ababa",Ethiopia,Facebook,50,4776,0.9
32,2022-02-01,"Jane Smith","Maasai Shuka","Fashion and Accessories",710,9,6390,Accra,Ghana,TikTok,60,1912,0.6
33,2022-02-02,"Denis Kombe","African Hair Care Products","Fashion and Accessories",535,12,6420,"Dar es Salaam",Tanzania,TikTok,60,1601,0.6
34,2022-02-03,"Jane Smith","Maasai Shuka","Fashion and Accessories",987,9,8883,Johannesburg,"South Africa",YouTube,70,1075,0.2
35,2022-02-04,"Denis Kombe","African Hair Care Products","Fashion and Accessories",927,5,4635,Nairobi,Kenya,X_Twitter,65,2255,0.5
36,2022-02-05,"Bob Johnson","Sukuma Wiki","Food and Beverages",828,8,6624,Luanda,Angola,YouTube,70,4948,0.2
37,2022-02-06,"Alice Lee","African Hair Care Products","Fashion and Accessories",808,12,9696,Luanda,Angola,Facebook,50,3488,0.9
38,2022-02-07,"Alice Lee","Maasai Shuka","Fashion and Accessories",508,12,6096,Nairobi,Kenya,Facebook,50,2618,0.9
39,2022-02-08,"Bob Johnson","Maasai Shuka","Fashion and Accessories",915,13,11895,Luanda,Angola,Facebook,50,2173,0.9
40,2022-02-09,"Denis Kombe","Maasai Shuka","Fashion and Accessories",798,12,9576,"Dar es Salaam",Tanzania,Facebook,50,2205,0.9
41,2022-02-10,"Bob Johnson","African Hair Care Products","Fashion and Accessories",646,7,4522,Nairobi,Kenya,Facebook,50,1904,0.9
42,2022-02-11,"Alice Lee","Wooden Bowls","Handicrafts and Home Decor",916,12,10992,"Addis Ababa",Ethiopia,TikTok,60,1672,0.6
43,2022-02-12,"Denis Kombe","Kitenge Fabric","Fashion and Accessories",825,8,6600,Luanda,Angola,TikTok,60,3978,0.6
44,2022-02-13,"Denis Kombe","Sukuma Wiki","Food and Beverages",503,11,5533,"Addis Ababa",Ethiopia,X_Twitter,65,1892,0.5
45,2022-02-14,"Bob Johnson","Sukuma Wiki","Food and Beverages",696,11,7656,Lagos,Nigeria,Facebook,50,4079,0.9
46,2022-02-15,"Bob Johnson","Sukuma Wiki","Food and Beverages",878,9,7902,Accra,Ghana,X_Twitter,65,1615,0.5
47,2022-02-16,"Jane Smith","Sukuma Wiki","Food and Beverages",661,5,3305,"Dar es Salaam",Tanzania,YouTube,70,3777,0.2
48,2022-02-17,"Jane Smith","Kitenge Fabric","Fashion and Accessories",861,14,12054,Nairobi,Kenya,YouTube,70,3754,0.2
49,2022-02-18,"Jane Smith","Sukuma Wiki","Food and Beverages",581,7,4067,Accra,Ghana,X_Twitter,65,3145,0.5
50,2022-02-19,"Bob Johnson","African Hair Care Products","Fashion and Accessories",785,8,6280,Lagos,Nigeria,Instagram,55,718,0.8
51,2022-02-20,"Alice Lee","Maasai Shuka","Fashion and Accessories",658,8,5264,Accra,Ghana,Instagram,55,2209,0.8
52,2022-02-21,"Denis Kombe","Aloe Vera","Personal Care",652,11,7172,Luanda,Angola,YouTube,70,3735,0.2
53,2022-02-22,"Denis Kombe","Sukuma Wiki","Food and Beverages",965,13,12545,Accra,Ghana,Instagram,55,4891,0.8
54,2022-02-23,"Bob Johnson","Aloe Vera","Personal Care",845,6,5070,Luanda,Angola,TikTok,60,3013,0.6
55,2022-02-24,"Bob Johnson","Kikoy Throw","Fashion and Accessories",849,9,7641,Johannesburg,"South Africa",Facebook,50,2374,0.9
56,2022-02-25,"Bob Johnson","Maasai Shuka","Fashion and Accessories",937,10,9370,Accra,Ghana,X_Twitter,65,2644,0.5
57,2022-02-26,"Bob Johnson","Sukuma Wiki","Food and Beverages",534,14,7476,Nairobi,Kenya,X_Twitter,65,1210,0.5
58,2022-02-27,"Alice Lee","Chai Tea","Food and Beverages",599,8,4792,Nairobi,Kenya,X_Twitter,65,3374,0.5
59,2022-02-28,"Denis Kombe","Wooden Bowls","Handicrafts and Home Decor",880,14,12320,Johannesburg,"South Africa",Instagram,55,2600,0.8
60,2022-03-01,"Bob Johnson","Wooden Bowls","Handicrafts and Home Decor",875,14,12250,"Addis Ababa",Ethiopia,Instagram,55,4981,0.8
61,2022-03-02,"Alice Lee","Maasai Shuka","Fashion and Accessories",867,9,7803,Johannesburg,"South Africa",TikTok,60,4861,0.6
62,2022-03-03,"Denis Kombe","Aloe Vera","Personal Care",809,5,4045,Accra,Ghana,TikTok,60,1713,0.6
63,2022-03-04,"Alice Lee","African Hair Care Products","Fashion and Accessories",696,11,7656,Johannesburg,"South Africa",TikTok,60,3875,0.6
64,2022-03-05,"Bob Johnson","Aloe Vera","Personal Care",718,12,8616,Johannesburg,"South Africa",Facebook,50,3928,0.9
65,2022-03-06,"Bob Johnson","Sukuma Wiki","Food and Beverages",607,7,4249,"Dar es Salaam",Tanzania,YouTube,70,3084,0.2
66,2022-03-07,"Bob Johnson","Wooden Bowls","Handicrafts and Home Decor",704,6,4224,Accra,Ghana,TikTok,60,1306,0.6
67,2022-03-08,"Alice Lee","Kikoy Throw","Fashion and Accessories",786,13,10218,Nairobi,Kenya,TikTok,60,1012,0.6
68,2022-03-09,"Denis Kombe","Wooden Bowls","Handicrafts and Home Decor",549,9,4941,Lagos,Nigeria,Facebook,50,3091,0.9
69,2022-03-10,"Bob Johnson","Maasai Shuka","Fashion and Accessories",992,5,4960,Accra,Ghana,YouTube,70,2682,0.2
70,2022-03-11,"John Doe","Maasai Shuka","Fashion and Accessories",732,5,3660,Nairobi,Kenya,TikTok,60,4398,0.6
71,2022-03-12,"Bob Johnson","Kitenge Fabric","Fashion and Accessories",525,13,6825,Lagos,Nigeria,Facebook,50,3527,0.9
72,2022-03-13,"Denis Kombe","Wooden Bowls","Handicrafts and Home Decor",660,10,6600,"Dar es Salaam",Tanzania,TikTok,60,3866,0.6
73,2022-03-14,"Jane Smith","Maasai Shuka","Fashion and Accessories",857,13,11141,Johannesburg,"South Africa",X_Twitter,65,1696,0.5
74,2022-03-15,"Bob Johnson","Chai Tea","Food and Beverages",545,12,6540,Lagos,Nigeria,YouTube,70,4703,0.2
75,2022-03-16,"John Doe","Aloe Vera","Personal Care",983,11,10813,Nairobi,Kenya,X_Twitter,65,3332,0.5
76,2022-03-17,"Bob Johnson","Chai Tea","Food and Beverages",982,9,8838,Accra,Ghana,Instagram,55,1668,0.8
77,2022-03-18,"Alice Lee","Kitenge Fabric","Fashion and Accessories",768,5,3840,"Addis Ababa",Ethiopia,Facebook,50,2470,0.9
78,2022-03-19,"Denis Kombe","Sukuma Wiki","Food and Beverages",763,6,4578,Accra,Ghana,TikTok,60,4093,0.6
79,2022-03-20,"Denis Kombe","Sukuma Wiki","Food and Beverages",570,7,3990,"Dar es Salaam",Tanzania,TikTok,60,3465,0.6
80,2022-03-21,"John Doe","Kitenge Fabric","Fashion and Accessories",688,14,9632,Lagos,Nigeria,YouTube,70,4385,0.2
81,2022-03-22,"Alice Lee","Chai Tea","Food and Beverages",685,5,3425,Nairobi,Kenya,Facebook,50,4420,0.9
82,2022-03-23,"John Doe","African Hair Care Products","Fashion and Accessories",604,6,3624,"Dar es Salaam",Tanzania,TikTok,60,2880,0.6
83,2022-03-24,"Bob Johnson","African Hair Care Products","Fashion and Accessories",569,8,4552,Luanda,Angola,X_Twitter,65,3676,0.5
84,2022-03-25,"Bob Johnson","Maasai Shuka","Fashion and Accessories",953,6,5718,Lagos,Nigeria,YouTube,70,4218,0.2
85,2022-03-26,"Jane Smith","African Hair Care Products","Fashion and Accessories",552,6,3312,Accra,Ghana,X_Twitter,65,2696,0.5
86,2022-03-27,"Alice Lee","Maasai Shuka","Fashion and Accessories",593,10,5930,Lagos,Nigeria,Facebook,50,603,0.9
87,2022-03-28,"John Doe","African Hair Care Products","Fashion and Accessories",685,12,8220,"Addis Ababa",Ethiopia,TikTok,60,3827,0.6
88,2022-03-29,"Bob Johnson","Kikoy Throw","Fashion and Accessories",800,13,10400,"Dar es Salaam",Tanzania,X_Twitter,65,2312,0.5
89,2022-03-30,"John Doe","Aloe Vera","Personal Care",827,13,10751,Luanda,Angola,Facebook,50,1629,0.9
90,2022-03-31,"Denis Kombe","Kitenge Fabric","Fashion and Accessories",703,11,7733,Accra,Ghana,Facebook,50,4087,0.9
91,2022-04-01,"Bob Johnson","Chai Tea","Food and Beverages",745,10,7450,Luanda,Angola,Instagram,55,1216,0.8
92,2022-04-02,"Alice Lee","Wooden Bowls","Handicrafts and Home Decor",754,6,4524,Nairobi,Kenya,YouTube,70,1332,0.2
93,2022-04-03,"John Doe","Aloe Vera","Personal Care",925,7,6475,"Dar es Salaam",Tanzania,Instagram,55,4161,0.8
94,2022-04-04,"Jane Smith","Maasai Shuka","Fashion and Accessories",551,9,4959,Nairobi,Kenya,Facebook,50,3388,0.9
95,2022-04-05,"Bob Johnson","Maasai Shuka","Fashion and Accessories",879,9,7911,"Dar es Salaam",Tanzania,TikTok,60,1274,0.6
96,2022-04-06,"Bob Johnson","Kikoy Throw","Fashion and Accessories",994,5,4970,Luanda,Angola,Facebook,50,3597,0.9
97,2022-04-07,"Denis Kombe","Aloe Vera","Personal Care",891,13,11583,Nairobi,Kenya,Facebook,50,4445,0.9
98,2022-04-08,"Bob Johnson","Maasai Shuka","Fashion and Accessories",969,6,5814,"Dar es Salaam",Tanzania,YouTube,70,1523,0.2
99,2022-04-09,"Bob Johnson","Wooden Bowls","Handicrafts and Home Decor",792,10,7920,Nairobi,Kenya,TikTok,60,2873,0.6
100,2022-04-10,"Denis Kombe","Chai Tea","Food and Beverages",874,14,12236,Johannesburg,"South Africa",YouTube,70,3332,0.2
101,2022-04-11,"Bob Johnson","Maasai Shuka","Fashion and Accessories",537,13,6981,Johannesburg,"South Africa",YouTube,70,3811,0.2
102,2022-04-12,"Bob Johnson","Maasai Shuka","Fashion and Accessories",909,14,12726,Johannesburg,"South Africa",YouTube,70,3471,0.2
103,2022-04-13,"Denis Kombe","African Hair Care Products","Fashion and Accessories",505,13,6565,Johannesburg,"South Africa",X_Twitter,65,2617,0.5
104,2022-04-14,"Bob Johnson","Wooden Bowls","Handicrafts and Home Decor",520,10,5200,"Dar es Salaam",Tanzania,TikTok,60,4330,0.6
105,2022-04-15,"John Doe","Wooden Bowls","Handicrafts and Home Decor",619,12,7428,Luanda,Angola,YouTube,70,2905,0.2
106,2022-04-16,"Bob Johnson","Maasai Shuka","Fashion and Accessories",636,5,3180,Lagos,Nigeria,Instagram,55,1125,0.8
107,2022-04-17,"Alice Lee","African Hair Care Products","Fashion and Accessories",735,13,9555,Lagos,Nigeria,TikTok,60,3525,0.6
108,2022-04-18,"Denis Kombe","Aloe Vera","Personal Care",835,8,6680,"Dar es Salaam",Tanzania,X_Twitter,65,3679,0.5
109,2022-04-19,"Bob Johnson","Sukuma Wiki","Food and Beverages",593,6,3558,"Addis Ababa",Ethiopia,Facebook,50,588,0.9
110,2022-04-20,"John Doe","Wooden Bowls","Handicrafts and Home Decor",963,9,8667,Johannesburg,"South Africa",Facebook,50,1830,0.9
111,2022-04-21,"Bob Johnson","Wooden Bowls","Handicrafts and Home Decor",566,8,4528,Luanda,Angola,X_Twitter,65,4253,0.5
112,2022-04-22,"Denis Kombe","Maasai Shuka","Fashion and Accessories",669,11,7359,Accra,Ghana,Facebook,50,4444,0.9
113,2022-04-23,"John Doe","Chai Tea","Food and Beverages",824,7,5768,"Dar es Salaam",Tanzania,Facebook,50,2263,0.9
114,2022-04-24,"Alice Lee","Sukuma Wiki","Food and Beverages",773,5,3865,Johannesburg,"South Africa",YouTube,70,1228,0.2
115,2022-04-25,"Alice Lee","African Hair Care Products","Fashion and Accessories",647,12,7764,Lagos,Nigeria,YouTube,70,1134,0.2
116,2022-04-26,"Denis Kombe","Kikoy Throw","Fashion and Accessories",838,5,4190,Johannesburg,"South Africa",TikTok,60,2598,0.6
117,2022-04-27,"Denis Kombe","Maasai Shuka","Fashion and Accessories",704,14,9856,"Dar es Salaam",Tanzania,TikTok,60,4108,0.6
