CustomerID,OrderDate,Salesperson,ProductName,ProductCategory,Quantity,UnitPrice_In_Dollars,TotalPrice_In_Dollars,City,Country,Channel,Spend,LeadsGenerated,ConversionRate
1dc20d25-a607-4316-b290-91026bb6b35f,1/1/2022,Jane Smith,Aloe Vera,Fashion and Accessories,657,14,105,Dar es Salaam,Ghana,TikTok,60.77341262,1017,0.059
f5353983-fce6-463b-96e1-63cf2cef20ce,1/2/2022,denisKombe,African Hair Care Products,Handicrafts and Home Decor,944,12,79,Johannesburg,South Africa,Facebook,69.14726634,2473,0.067
4a506a72-8d01-4468-83b0-95b3e0a81842,1/3/2022,Jane Smith,Maasai Shuka,Food and Beverages,719,6,124,Luanda,Angola,YouTube,88.50820731,842,0.092
13c158bd-32dd-43ca-9b63-a7310da474be,1/4/2022,  bob JohNson,Maasai Shuka,Handicrafts and Home Decor,680,9,91,Lagos,Kenya,TikTok,154.6457784,4695,0.058
4c99ff0a-0817-42b1-9346-4c50b8f8420d,1/5/2022, John Doe,African Hair Care Products,Personal Care,935,6,54,Lagos,Nigeria,YouTube,72.8668276,4867,0.068
fa50e4de-efa1-4eee-beab-a8d9ceb97ba6,1/6/2022,Bob Johnson,Kitenge Fabric,Handicrafts and Home Decor,788,10,147,Accra,Ghana,Instagram,85.63073279,4899,0.092
cc66723c-f648-4d31-bbaa-b2a249200a3c,1/7/2022, Alice Lee, masaiShuka,Food and Beverages,648,8,86,Johannesburg,South Africa,Instagram,68.99118652,3166,0.068
9aeb2a32-06dc-468c-804e-4dafcc4a30aa,1/8/2022,  bob JohNson,Aloe Vera,Food and Beverages,708,7,58,,Nigeria,YouTube,80.60669018,3170,0.09
eead3e48-2e39-4616-9da1-1bc67a3e4ce8,1/9/2022,Bob Johnson,Aloe Vera,Personal Care,672,13,53,,Nigeria,X_Twitter,95.47078465,3194,0.07
b65619b6-d650-4b31-8e55-6bc1126e2bed,1/10/2022, John Doe,Maasai Shuka,Food and Beverages,923,5,140,Accra,South Africa,TikTok,150.1533036,2060,0.098
dc89a737-4668-4048-a502-d8e18db819b1,1/11/2022,denisKombe,Maasai Shuka,Personal Care,787,13,65,,Angola,Instagram,60.51239826,4153,0.06
bb5a179d-9d2d-4117-abfa-f3e62b6c4dc7,1/12/2022, Alice Lee,Kikoy Throw,Personal Care,556,10,109,,South Africa,YouTube,159.9672667,3678,0.086
73522357-3fd4-4a78-9167-2fc941a080cd,1/13/2022,  bob JohNson, masaiShuka,Personal Care,536,6,90,Lagos, TanZania,X_Twitter,143.1189813,597,0.06
08963e42-2d40-4bbf-b41c-5ea6fb9bd0db,1/14/2022, John Doe,Kikoy Throw,Fashion and Accessories,827,11,75,Dar es Salaam,Angola,Facebook,80.75008971,2975,0.072
fffb7907-eb7e-4ecf-8d0d-d16b49c496e8,1/15/2022,Jane Smith,Aloe Vera,Handicrafts and Home Decor,978,7,50,Lagos,South Africa,X_Twitter,124.5319994,4833,0.076
e43613bf-bd72-4976-9580-fc1f5ef5e2f3,1/16/2022,Jane Smith,Aloe Vera,Personal Care,583,13,70,Luanda,South Africa,YouTube,76.38546299,721,0.054
0667a76b-d2a7-461c-9d96-7c506abfa57d,1/17/2022,Bob Johnson,Kitenge Fabric,Fashion and Accessories,550,12,113,Lagos,Ethiopia,X_Twitter,70.06348328,4636,0.077
4fd8b029-3640-4482-b067-6731464f91bf,1/18/2022,Jane Smith,Maasai Shuka,Personal Care,810,11,84,Dar es Salaam,South Africa,X_Twitter,69.06920761,4686,0.086
9533854e-6c55-4057-ab00-e62b61357fa1,1/19/2022,Bob Johnson, masaiShuka,Handicrafts and Home Decor,794,10,83,,Angola,Instagram,129.2093684,1806,0.083
00216121-cab9-44c1-b9ab-3f89ae7aa171,1/20/2022,Denis Kombe, masaiShuka,Fashion and Accessories,799,10,134,Lagos,Ethiopia,YouTube,95.24679488,3848,0.052
69b77643-cdd7-4e8f-8d19-154484548e81,1/21/2022,denisKombe,Maasai Shuka,Personal Care,837,7,92,Accra,Angola,X_Twitter,125.1043269,4909,0.1
2b6dc534-b335-439f-8f87-fa47d6260f19,1/22/2022,denisKombe, masaiShuka,Handicrafts and Home Decor,709,6,124,Johannesburg,Angola,Instagram,86.72263986,2918,0.094
9dd98432-8e52-4ae2-b6c8-d9d04afd1a4e,1/23/2022,  bob JohNson,Aloe Vera,Food and Beverages,690,9,87,Dar es Salaam,Ethiopia,Instagram,138.0123889,4550,0.054
f2feaf1a-f485-4353-8488-e75c036fa544,1/24/2022,denisKombe,Kitenge Fabric,Food and Beverages,754,8,55,, TanZania,TikTok,99.94502566,2207,0.067
a8598d4a-2fc8-49eb-b321-e8bc027239fa,1/25/2022,  bob JohNson,Wooden Bowls,Handicrafts and Home Decor,779,12,126,Lagos,Nigeria,Facebook,154.3983494,556,0.092
11a1e333-7548-425b-81b1-879bd79a7b0c,1/26/2022,Bob Johnson,Maasai Shuka,Fashion and Accessories,709,11,55,Dar es Salaam,Kenya,TikTok,108.3777698,739,0.053
c4bf19cf-75fc-408f-95ed-360c21dc78a4,1/27/2022,Bob Johnson,Aloe Vera,Handicrafts and Home Decor,621,10,144,Johannesburg,Ghana,Facebook,76.50206422,1828,0.051
56bbcc86-5231-4c65-93ad-b845b012f4cf,1/28/2022,Denis Kombe,Sukuma Wiki,Handicrafts and Home Decor,854,8,84,Lagos,Kenya,X_Twitter,142.2247758,2919,0.092
f55c5eca-2950-4611-bc38-7eaa228aad83,1/29/2022,denisKombe, masaiShuka,Food and Beverages,665,5,122,Lagos,Ghana,Facebook,64.17376048,1512,0.086
df1ea24d-f491-4c05-a2d9-648c79cbc393,1/30/2022,Denis Kombe,Kitenge Fabric,Handicrafts and Home Decor,788,5,144,Nairobi,Ethiopia,X_Twitter,144.0323612,1101,0.054
f91a3fab-75f5-4e4c-92ec-b583c9cca395,1/31/2022,denisKombe,Kikoy Throw,Handicrafts and Home Decor,789,10,144,Nairobi,Ethiopia,Facebook,75.18773619,4776,0.059
23f4a965-5385-45cd-9144-3d2bebd51dba,2/1/2022,Jane Smith,Maasai Shuka,Food and Beverages,710,9,72,Johannesburg,Ghana,TikTok,86.35084912,1912,0.057
a0af1efb-84e7-4d13-9a1a-0f502d29bcc0,2/2/2022,Denis Kombe,African Hair Care Products,Fashion and Accessories,535,12,100,Luanda, TanZania,TikTok,67.98801653,1601,0.065
766b9c6f-e305-4b46-bc7f-465b3b4b1ae4,2/3/2022,Jane Smith, masaiShuka,Personal Care,987,9,89,Luanda,South Africa,YouTube,73.81989167,1075,0.066
f1e9a748-b08b-4603-a9d7-761b9477e38f,2/4/2022,denisKombe,African Hair Care Products,Food and Beverages,927,5,97,Lagos,Kenya,X_Twitter,119.7162278,2255,0.089
f0210114-ee83-43c1-9988-a4b3832dff7d,2/5/2022,  bob JohNson,Sukuma Wiki,Fashion and Accessories,828,8,96,Johannesburg,Angola,YouTube,64.84461298,4948,0.071
860953fe-b336-420e-b33d-8b67cb35fc7c,2/6/2022, Alice Lee,African Hair Care Products,Food and Beverages,808,12,91,Accra,Angola,Facebook,153.3048449,3488,0.077
fea52dd7-9d43-4bbd-86c5-79fd732b5238,2/7/2022, Alice Lee, masaiShuka,Handicrafts and Home Decor,508,12,79,Dar es Salaam,Kenya,Facebook,113.7762681,2618,0.07
72c86c30-4627-447b-b583-a89cf9a9d788,2/8/2022,Bob Johnson,Maasai Shuka,Fashion and Accessories,915,13,107,Nairobi,Angola,Facebook,129.1283992,2173,0.096
8b6fe3c5-0ccc-4384-8d99-9f110645473f,2/9/2022,denisKombe,Maasai Shuka,Fashion and Accessories,798,12,61,Johannesburg, TanZania,Facebook,97.30417323,2205,0.099
8f298bce-604d-4441-8a2c-5daf1b8e65d0,2/10/2022,  bob JohNson,African Hair Care Products,Fashion and Accessories,646,7,115,Luanda,Kenya,Facebook,146.7855994,1904,0.063
c8672737-f957-41ad-b398-1207f7fcdf01,2/11/2022, Alice Lee,Wooden Bowls,Handicrafts and Home Decor,916,12,78,Dar es Salaam,Ethiopia,TikTok,112.3171319,1672,0.097
